"gene","TF_symbol","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","log2FC","standardized_diff_MTC456_minus_MTC123","OddsRatio","FDR","Significance","pct_in_dorothea","pct_in_collectri","Corroborated"
"RXRG","RXRG",3.03266355523292e-239,0.00170605774384661,0.117,0.017,7.12675935479737e-237,"MTC_123",-0.00170605774384661,-0.333253009567288,0.0190148853061288,2.98974408424405e-12,"Significant",0,0,"Novel"
"SIN3A","SIN3A",0,0.00324061102234717,0.885,0.691,0,"MTC_123",-0.00324061102234717,-0.449234605665278,0.688746717488732,0.24421721495556,"NS",0,0,"Novel"
"SIRT6","SIRT6",0,0.0177045759414297,0.782,0.275,0,"MTC_456",0.0177045759414297,1.02964152708476,0.344403649099735,0.0283000944261803,"Significant",0,0,"Novel"
"SOX10","SOX10",3.51033607495228e-46,0.00144926134921649,0.545,0.501,8.24928977613785e-44,"MTC_456",0.00144926134921649,0.203355840664687,0.100614035047207,2.54660763707918e-19,"Significant",1.33333333333333,1.33333333333333,"Corroborated"
"SP3","SP3",0,0.0071233297161875,1,0.98,0,"MTC_123",-0.0071233297161875,-0.738880170320459,0.822254368448878,0.312351022184579,"NS",0.617283950617284,3.39506172839506,"Corroborated"
"SPI1","SPI1",0,0.112659895671664,1,1,0,"MTC_456",0.112659895671664,1.49752276149896,1.88763125842741,0.043742374709692,"Significant",3.01204819277108,0.602409638554217,"Corroborated"
"SREBF1","SREBF1",0,0.00685680019783268,1,1,0,"MTC_123",-0.00685680019783268,-0.72806778727595,0.678180541603453,0.0293511799998809,"Significant",0.719424460431655,1.79856115107914,"Corroborated"
"STAT1","STAT1",0,0.0215444717495478,1,1,0,"MTC_456",0.0215444717495478,1.52849400534034,0.854049175596085,0.359281410123775,"NS",14.8837209302326,9.06976744186047,"Corroborated"
"TAF1","TAF1",0,0.0135122597511384,1,0.999,0,"MTC_123",-0.0135122597511384,-1.23886327598125,0.943674626095769,0.841839489913056,"NS",0,0.966183574879227,"Corroborated"
"TAL1","TAL1",0,0.0730829967631221,1,0.996,0,"MTC_123",-0.0730829967631221,-1.69439131216858,2.86561840934699,0.00214803660033138,"Significant",6.36942675159236,1.91082802547771,"Corroborated"
"TCF4","TCF4",0,0.121838387275754,1,0.901,0,"MTC_123",-0.121838387275754,-1.4951864433972,8.20959170423597,0.0792586842574819,"NS",0,0,"Novel"
"TERF2","TERF2",3.01293409479857e-09,0.00254301177816513,0.312,0.361,7.08039512277663e-07,"MTC_456",0.00254301177816513,0.0552070837891209,1.03636980579927,1,"NS",0,0,"Novel"
"TFAP2C","TFAP2C",0,0.0127493772217607,1,0.988,0,"MTC_456",0.0127493772217607,0.939915099210017,0.491223287033248,0.00137367250246394,"Significant",10.3225806451613,0.645161290322581,"Corroborated"
"TFDP1","TFDP1",0,0.00716087114418938,0.999,0.998,0,"MTC_456",0.00716087114418938,0.944403351567285,0.288802656639981,6.47490748777158e-09,"Significant",2.36220472440945,1.5748031496063,"Corroborated"
"TFE3","TFE3",0,0.00541841553508986,0.427,0.135,0,"MTC_456",0.00541841553508986,0.634225163876317,0.566638527977866,0.303527328678332,"NS",0,0,"Novel"
"THAP11","THAP11",0,0.00896985028282939,1,1,0,"MTC_123",-0.00896985028282939,-0.971602839129073,0.707305440690264,0.0657150111307459,"NS",0,0.36101083032491,"Corroborated"
"THRA","THRA",0,0.00488873757356478,0.964,0.693,0,"MTC_123",-0.00488873757356478,-0.98909938646413,0.638388074739944,0.0595135205909205,"NS",0,0,"Novel"
"TRIM28","TRIM28",0,0.0158711207974291,1,0.989,0,"MTC_123",-0.0158711207974291,-1.1294072476795,1.13583001674517,0.752956506272921,"NS",0,0,"Novel"
"USF1","USF1",0,0.0144591658505962,0.817,0.507,0,"MTC_456",0.0144591658505962,1.01737580721032,0.10575958040383,3.67648233186086e-12,"Significant",0,2.12765957446809,"Corroborated"
"USF2","USF2",0,0.0201850595278025,1,1,0,"MTC_123",-0.0201850595278025,-0.754415929518,0.901820918081278,0.71450264572442,"NS",0,1.45985401459854,"Corroborated"
"VDR","VDR",0,0.0846401838172061,0.872,0.715,0,"MTC_456",0.0846401838172061,0.95388909090795,8.20959170423597,1,"NS",0,0,"Novel"
"XBP1","XBP1",0,0.0682710451217676,1,0.987,0,"MTC_456",0.0682710451217676,1.21602241782666,1.96046478062996,0.485289800284243,"NS",0,5.40540540540541,"Corroborated"
"YBX1","YBX1",0,0.0850883811511201,1,0.992,0,"MTC_456",0.0850883811511201,1.67641303465061,0.847188631933922,0.705634762018071,"NS",0,0,"Novel"
"YY1","YY1",0,0.0317940569031345,1,1,0,"MTC_123",-0.0317940569031345,-1.22794690216069,1.9874905890028,0.000455858286892004,"Significant",0.523560209424084,1.04712041884817,"Corroborated"
