"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","pos_avgLFC","avg_LFC"
"Adapt_AIF1","WDR19",-0.569407753684839,1.34061544429118,-1.67306060972346,0.103626500931051,0.296306724590641,-4.83866647037324,-1.62752095900891,-0.343489327145307,-0.0792667678027632
"Adapt_CCL3","ATP6V1G1",-0.251499860954787,7.99143245911814,-1.67510439124376,0.10365687109873,0.296382526156234,-5.15571727575828,-1.62737785840018,-0.219908678753104,-0.202992626541326
"Adapt_AIF1","SMG5",-0.372092052604832,3.67620255083365,-1.67452136661823,0.1036697831407,0.296408406516721,-5.28016267705282,-1.62731702849283,-0.289277467455692,-0.133512677287243
"Adapt_HIF1A","WBP11",-0.9109002626359,6.01128037778476,-1.66783498188865,0.103674684253719,0.296411381282035,-4.48321539338498,-1.62729394044096,0.00570103698655338,0.00438541306657952
"Adapt_CCL3","MYL6B",0.238952796934145,4.22846718278598,1.67875222809429,0.103697279672315,0.296464942893367,-5.06123984145931,1.62718750967283,0.234994116122729,0.126535293296854
"Adapt_HSPA1A","AC139887.2",0.634914530926872,3.90475140798399,1.75656445554006,0.103703549385539,0.296471827940629,-4.89405386994904,1.62715798082909,0.743574284423349,0.285990109393596
"Adapt_HSPA1A","MCUR1",0.278349566610106,4.88558165251643,1.6769679233673,0.103737975017018,0.296559202736031,-5.15595432358309,1.62699586964858,0.565596288495159,0.34805925445856
"Homeo_CECR2","GTF2IRD2",-1.05633851566119,4.89350168298174,-1.67126333891825,0.103745662211642,0.296562692485524,-4.36354667607504,-1.62695967629143,-0.731304928683389,-0.337525351700026
"Adapt_HIST","LRCH4",-0.436658948131496,6.41900858059703,-1.6756283104356,0.103746921050167,0.296562692485524,-4.62436848555658,-1.62695374954786,-0.400657300148107,-0.339017715509937
"Adapt_CCL3","PGK1",-0.551929484413249,8.57802032568158,-1.67460885472725,0.103754928424936,0.296574539824322,-5.13288850161824,-1.62691605132702,-0.47477817871913,-0.43825678035612
