"assay","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","z.std","cluster","gene","pos_avgLFC"
"Myeloid","AC092683.1",0.475533642020868,3.39188564255225,1.16281600398744,0.254085407576122,0.436520812722018,-5.53843407335561,1.14048233624455,"Unfavorable_Myeloid","AC092683.1",0.475533642020868
"MONO","API5",-0.2665545407665,4.53698886004289,-1.16272892392628,0.254187622123485,0.436662654705559,-5.84636459950687,-1.1402368906319,"Favorable_MONO","API5",-0.37824233397437
"Myeloid","ZNF416",0.40355463040414,0.876542088801983,1.16115290064826,0.254250360913041,0.43673666556837,-5.03204632477698,1.14008627132948,"Unfavorable_Myeloid","ZNF416",0.40355463040414
"T Cells","NOP10",-0.179744255323979,8.20880318629977,-1.16090448502454,0.254281732659021,0.436756788648021,-5.90303767472551,-1.1400109657328,"Favorable_T Cells","NOP10",-0.159868820035398
"T Cells","PWWP2A",0.234660954636893,5.60292300174574,1.17345486179378,0.254414909460631,0.436902830173215,-5.47029450956488,1.13969135644731,"Unfavorable_T Cells","PWWP2A",0.307123027978988
"Myeloid","MAN1B1",-0.188428314271065,4.93570320527114,-1.16299809719538,0.254423849799433,0.436902830173215,-5.70806772751121,-1.13966990481355,"Favorable_Myeloid","MAN1B1",-0.317810959326942
"Myeloid","U2SURP",0.190140333937136,7.12899449757306,1.16119332721042,0.254425749116127,0.436902830173215,-5.68263729561944,1.13966534762135,"Unfavorable_Myeloid","U2SURP",0.336911214483443
"Myeloid","PKP4",0.701442407600265,0.292450859591587,1.17274697767082,0.254591801607302,0.437151051555705,-4.87050807713837,1.13926701519839,"Unfavorable_Myeloid","PKP4",0.701442407600265
"Myeloid","PLPP5",-0.23074841244085,5.47613981557544,-1.16025657270799,0.254609647517097,0.437151051555705,-5.83175711318779,-1.1392242165733,"Favorable_Myeloid","PLPP5",-0.23074841244085
"MONO","SOAT1",-0.287124760743102,6.58017062279559,-1.16289632005197,0.254693891043646,0.437254539880392,-5.33943139715499,-1.13902220925432,"Favorable_MONO","SOAT1",-0.508770410272076
"NEUT","SNX10",-0.25838886656881,7.58925778454341,-1.16668281176483,0.25470928078095,0.437254539880392,-5.81570467754938,-1.13898531126668,"Favorable_NEUT","SNX10",-0.785826984007588
