moa,AvgRank_moa,MOA.pseudo.zscore,N_compounds_moa,MOA.MW.p,Rank_moa,MOA.MW.FDR
PKC inhibitor,51678.7939771612,-0.198548988346645,11,0.443583744575771,237,0.885974910226924
calcitonin antagonist,51703.9763888889,-0.277504434032483,2,0.769614158293493,238,0.925088604285709
TRPV agonist,51788.9421978022,-0.191009052632658,5,0.716606173189314,239,0.925088604285709
guanylate cyclase stimulant,51798.4783333333,-0.244758516346521,2,0.68458226569158,240,0.925088604285709
isocitrate dehydrogenase inhibitor,51813.51375,-0.244971029846682,2,0.621959004565635,241,0.924825998093248
immunostimulant,51900.2092592593,-0.279243767027668,3,0.611907017238003,242,0.921330740026204
imidazoline receptor ligand,51950.4011217949,-0.282623390843226,4,0.468012922853223,243,0.885974910226924
calcium sensitizer,51974.70625,-0.257623484834823,2,0.643444994369025,244,0.925088604285709
MDM inhibitor,51978.7582576556,-0.267178957814827,5,0.461495164149962,245,0.885974910226924
retinoid receptor agonist,52055.0054823462,-0.228067892814626,16,0.225371222570386,246,0.84801601503702
cannabinoid receptor agonist,52056.5283562271,-0.322601179630411,6,0.354722558994374,247,0.85701610097089
prostanoid receptor agonist,52094.5922943723,-0.320812716396953,6,0.358554503841042,248,0.85701610097089
structural glycoprotein antagonist,52113.72,-0.413641532169206,2,0.846300563574449,249,0.942784341180657
CDC inhibitor,52164.4656806843,-0.264865299139973,3,0.530268973657717,250,0.906759944954695
fatty acid synthase inhibitor,52348.2638888889,-0.290340816961448,2,0.68769781341269,251,0.925088604285709
protein synthesis stimulant,52357.8416666667,-0.237140396070489,3,0.608876062906821,252,0.921330740026204
kainate receptor antagonist,52457.3666666667,-0.273557309184034,2,0.54564689957264,253,0.910708941682965
purinergic receptor antagonist,52706.4509085213,-0.487191146642924,7,0.331583387718533,254,0.85701610097089
imidazoline receptor agonist,52719.2600370371,-0.303274651610101,3,0.420360336126784,255,0.87660509119122
tyrosine kinase inhibitor,52791.6583015669,-0.336583580739201,11,0.252236421064242,256,0.84801601503702
cell cycle inhibitor,52800.5752804487,-0.314329437378773,2,0.523004304721712,257,0.898831518667465
endothelin receptor antagonist,52828.0168043164,-0.273450958737075,7,0.545892786681309,258,0.910708941682965
prostanoid receptor antagonist,52833.7174304016,-0.323390119818858,9,0.259658540751143,259,0.84801601503702
neprilysin inhibitor,52904.8429824562,-0.334918260116735,2,0.653729043501067,260,0.925088604285709
antioxidant,53009.0250505051,-0.274272457709152,5,0.513802926006435,261,0.887477781283843
kinesin-like spindle protein inhibitor,53013.5938118812,-0.320716954733969,2,0.478882298139955,262,0.885974910226924
progesterone receptor antagonist,53085.9655357143,-0.333208066872926,4,0.351450845527228,263,0.85701610097089
serotonin transporter (SERT) inhibitor,53089.925,-0.333593311528343,2,0.587955714631007,264,0.920972100605682
farnesyltransferase inhibitor,53105.2565367965,-0.335688953735187,3,0.444704127762986,265,0.885974910226924
vitamin D receptor agonist,53138.9613763728,-0.447123488495426,9,0.116060328557747,266,0.706622790656801
antimalarial agent,53198.8413496377,-0.471548536749789,4,0.345479785925292,267,0.85701610097089
DNA methyltransferase inhibitor,53248.0030233593,-0.358886881279325,5,0.30823025329977,268,0.85701610097089
capillary stabilizing agent,53255.9833333333,-0.440749206719425,2,0.744639202937003,269,0.925088604285709
aromatase inhibitor,53256.1013957307,-0.238907542594905,6,0.491850829518383,270,0.885974910226924
thrombin inhibitor,53330.0958333333,-0.336311095155216,2,0.451696669708311,271,0.885974910226924
hypoxia inducible factor inhibitor,53388.6137662338,-0.352343936132056,2,0.491467993855654,272,0.885974910226924
cholesterol inhibitor,53435.7553968254,-0.389959744986701,6,0.328021417512946,273,0.85701610097089
guanylate cyclase activator,53457.3055555556,-0.364570020342767,2,0.505582530701011,274,0.885974910226924
antiviral,53529.5397924298,-0.363724922959934,3,0.362804017509995,275,0.85701610097089
voltage-gated sodium channel blocker,53621.1734126984,-0.398824659625263,3,0.392014764249971,276,0.861471394065975
estrogen receptor agonist,53635.5398944688,-0.450314520852176,16,0.042247897295305,277,0.639704370445633
GABA receptor modulator,53778.4372134039,-0.466853223785584,9,0.153363397449502,278,0.760149013445357
TGF beta receptor inhibitor,53905.6142261905,-0.341871221921109,6,0.293987375697657,279,0.85701610097089
leukotriene synthesis inhibitor,54008.6051282051,-0.394428823011618,3,0.366006166259358,280,0.85701610097089
nitric oxide production inhibitor,54011.5362801933,-0.394142288214155,3,0.334345294949672,281,0.85701610097089
