assay,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,diffexpressed,cluster,pos_avgLFC,avg_LFC,gene
NEUT,SAP30,1.163722902022136,6.23266822793938,1.9722800066083888,0.06096281143134281,0.1692479124955907,-4.492126093369561,1.8737650799463421,NS,Bad_NEUT,1.1701839497236541,0.8776379622927406,SAP30
MONO,SAP30,0.7589672678678783,6.12045435012504,1.3249123772040967,0.19752713174098227,0.36666056851919726,-5.321527832469769,1.2886288986786962,NS,Bad_MONO,1.1701839497236541,0.8776379622927406,SAP30
NEUT,NIPBL,1.501147493551235,6.9075061076561,7.021036887863451,2.1960945158821447e-7,2.0003492454258626e-4,6.54064641355002,5.181923363372999,NS,Bad_NEUT,0.882904784656704,0.882904784656704,NIPBL
T Cells,NIPBL,0.7326914222832723,6.773536477603795,2.958832428207505,0.005699769105556687,0.03661981419520011,-2.5298509904902056,2.764571060359573,NS,Bad_T Cells,0.882904784656704,0.882904784656704,NIPBL
MONO,NIPBL,0.7401330203596306,6.628251514476057,3.4487262518942607,0.00590094252073952,0.03732419670640366,-1.474003748408939,2.7532355344833666,NS,Bad_MONO,0.882904784656704,0.882904784656704,NIPBL
Myeloid,NIPBL,0.557647202432678,6.562330021753724,2.286345591912872,0.030076168675323152,0.10563734001725558,-3.863183242259148,2.1690858247765212,NS,Bad_Myeloid,0.882904784656704,0.882904784656704,NIPBL
MONO,BHLHE41,2.386977868904056,6.88341537732613,3.7872945529284276,7.451125495609091e-4,0.011109774017153271,-0.6627460637603342,3.372418056319496,NS,Bad_MONO,1.2012819596703297,0.9009614697527473,BHLHE41
Myeloid,BHLHE41,0.811869683846723,10.059068683500177,3.1466889699353864,0.004031009393292216,0.02941886959125015,-2.006863310554013,2.8757248414128314,NS,Bad_Myeloid,1.2012819596703297,0.9009614697527473,BHLHE41
T Cells,BHLHE41,0.40499832626020993,6.551485895962071,1.0861112888343714,0.28535452716049287,0.46566612371140975,-5.805153156317774,1.068368041288605,NS,Bad_T Cells,1.2012819596703297,0.9009614697527473,BHLHE41
NEUT,IGSF6,1.566290307663449,8.34818758246609,4.6557297663358925,8.262774856650435e-5,0.0034148875328928255,1.2195376457314424,3.936647769035677,NS,Bad_NEUT,1.2219998200831277,0.9164998650623457,IGSF6
