p_val	p_val_adj	cluster	gene	avg_log2FC.y	pct.1.y	pct.2.y	sd.1	sd.2	RNA.MTC.123	RNA.MTC.456	se	tstat	log2FC
0	0	MTC_456	MAFB	0.9899328436602493	0.991	0.98	0.5760469054892637	0.635480812186283	1.0202487887913947	2.6805047697738917	0.007166916659566942	138.1253460424731	0.9899328436602493
0	0	MTC_456	SERPINA1	0.9771975839949039	0.998	0.975	0.48714217621117395	0.46103161057174824	0.6332146130679472	1.6711244648088277	0.005633920498104223	173.44894808574674	0.9771975839949039
0	0	MTC_456	RAC2	0.9735521709261339	0.972	0.741	0.3547722585927797	0.23306539229468748	0.11104884116800713	0.5287493427476975	0.003607007809117888	269.90575636270137	0.9735521709261339
0	0	MTC_456	GNG10	0.9731239988957054	0.997	0.99	0.4658225392538799	0.3392393467020184	0.4673012963205332	1.3677728536017417	0.004881981616492687	199.32971390310502	0.9731239988957054
0	0	MTC_456	APOC2	0.9678282727079379	1	1	0.7208266178254175	0.49299488151245935	3.5606285190519777	8.378997971907156	0.007412227135784041	130.57185849520843	0.9678282727079379
0	0	MTC_456	TUBA1C	0.9665696615945667	0.955	0.739	0.41606349148015714	0.2329790900235775	0.1049967264632808	0.5040997521219982	0.00406899183107733	237.5452450438201	0.9665696615945667
0	0	MTC_456	S100A10	0.9656732327173422	0.775	0.138	0.5090018187374235	0.08770502004164808	0.00781458687966476	0.27458273867649285	0.004468165594126818	216.1229731473408	0.9656732327173422
0	0	MTC_456	GLIPR2	0.9556906403947291	0.907	0.382	0.4091746109642152	0.12295312160918535	0.023975383003798815	0.3049590625704302	0.0036831671010019705	259.4752326427825	0.9556906403947291
0	0	MTC_456	CTSD	0.949352259222966	1	0.993	0.46641191391410614	0.34409892066121167	0.9260940159748745	2.3635063471794355	0.004908403601246365	193.41365061787135	0.949352259222966
0	0	MTC_456	DNAJB11	0.938867497340812	0.986	0.934	0.4449007890054634	0.3084441580940018	0.26682728820219104	0.9128821452715498	0.004593110989067529	204.4077531711064	0.938867497340812
0	0	MTC_456	TXN	0.9317820388473271	0.991	0.898	0.4477278816607318	0.29470554198362847	0.19979049364936302	0.6363494328851618	0.004554525657953359	204.58377201590665	0.9317820388473271
